food_name,quantity,unit,protein_g,carbs_g,fat_g,calories
Cooked Celery,1,cup,0.81,3.93,2.54,39
Cooked Asparagus (from Fresh),1,medium,2.33,4.03,2.21,39
Cherry Tomatoes,100,g,1,7,0,30
Savoy Cabbage,100,g,2,6.1,0.1,27
Broccoli,1,cup,2.82,6.64,0.37,34
"Beets (Solids and Liquids, Canned)",1,cup,0.73,7.14,0.09,30
Mashed Potato (from Dry),1,cup,2.02,12.22,5.56,105
Cooked Artichoke (from Fresh),1,medium,3.37,10.87,2.29,67
"Sweet Potato (Without Salt, Baked In Skin, Cooked)",100,g,2.01,20.71,0.15,90
Pickled Celery,1,cup,0.61,2.69,0.15,14
Fried Batter Dipped Eggplant,100,g,2.4,11.58,10.75,148
Red Onions,100,g,0.92,10.11,0.08,42
Cooked Turnip (from Frozen),1,cup,1.48,4.25,2.52,43
Low Sodium Green Peas (Canned),1,cup,3.13,9.6,1.77,65
Jerusalem Artichokes,100,g,2,17.44,0.01,76
Corn On The Cob with Butter,1,ear,3.06,21.88,2.35,106
"Parsnips (Without Salt, Drained, Cooked, Boiled)",1,cup,1.32,17.01,0.3,71
Chinese Broccoli (Cooked),1,cup,1.14,3.81,0.72,22
Radishes,100,g,0.68,3.4,0.1,16
Cooked Japanese Radish (Daikon) (Fat Not Added in Cooking),1,cup,0.63,4.34,0.11,19
Carrots,100,g,0.93,9.58,0.24,41
Cooked Turnip (from Fresh),1,cup,0.69,4.94,2.37,42
"Pickled Beets (Solids and Liquids, Canned)",100,g,0.8,16.28,0.08,65
"Mixed Vegetables (Drained Solids, Canned)",100,g,2.59,9.26,0.25,49
"Leeks (Bulb and Lower Leaf-Portion) (Without Salt, Drained, Cooked, Boiled)",1,leek,0.81,7.62,0.2,31
Beets,100,g,1.61,9.56,0.17,43
Oriental Radishes,1,radish,0.6,4.1,0.1,18
"White Sweet Corn (Kernels On Cob, with Salt, Frozen, Drained, Cooked, Boiled)",1,ear,3.11,22.33,0.74,94
Spinach,1,cup,2.86,3.63,0.39,23
Mushrooms,1,cup,3.09,3.28,0.34,22
Soybeans (Mature Seeds),100,g,36.49,30.16,19.94,416
Tomatoes,100,g,0.88,3.92,0.2,18
"Hawaii Mountain Yam (with Salt, Steamed, Cooked)",1,cup,1.73,19.99,0.08,82
"White Sweet Corn (Kernels On Cob, Without Salt, Frozen, Drained, Cooked, Boiled)",1,ear,3.11,22.33,0.74,94
"Mixed Vegetables (Corn, Lima Beans, Peas, Green Beans, Carrots) (No Salt Added, Canned)",1,cup,1.4,7.31,0.2,37
Kale (Frozen),100,g,2.66,4.9,0.46,28
Baby Corn,1,ear,2.62,18.59,1,81
Cooked Cauliflower (Fat Not Added in Cooking),1,cup,1.75,3.96,0.37,22
Cucumber (Peeled),100,g,0.59,2.16,0.16,12
Scallions or Spring Onions,100,g,1.83,7.34,0.19,32
Olives,100,g,0.92,5.4,11.27,117
Pumpkin,100,g,1,6.5,0.1,26
Sweet Potato (Frozen),1,cup,1.71,22.22,0.18,96
Zucchini,100,g,1.21,3.35,0.18,16
Crushed Tomatoes (Canned),100,g,1.64,7.29,0.28,32
Chinese Cabbage,100,g,1.5,2.18,0.2,13
Asparagus,1,cup,2.2,3.88,0.12,20
Cooked Eggplant,100,g,0.79,8.31,3.85,65
"Cooked Cauliflower (from Frozen, Fat Not Added in Cooking)",1,cup,1.6,3.73,0.22,19
"White Potatoes (Flesh and Skin, Baked)",100,g,2.1,21.08,0.15,94
Oyster Mushroom,100,g,3.34,6.43,0.44,35
Cherub Tomatoes,100,g,1,10,1,50
Green Peppers,100,g,0.86,4.64,0.17,20
Dill Cucumber Pickles,100,g,0.62,4.12,0.19,18
"Jalapeno Peppers (Solids and Liquids, Canned)",1,pepper,0.92,4.74,0.94,27
"Mixed Vegetables (Solids and Liquids, Canned)",100,g,1.42,7.12,0.25,36
Cooked Broccoli (Fat Not Added in Cooking),1,cup,2.37,7.14,0.41,35
Sweet Red Peppers,1,cup,0.99,6.03,0.3,26
Hawaiian Style Pickled Radishes,100,g,1.1,5.2,0.3,28
"Yam (with Salt, Drained, Cooked, Boiled)",100,g,1.49,27.58,0.14,116
Cooked Brussels Sprouts,100,g,2.47,6.91,2.77,55
Yellow Sweet Corn,1,cup,3.22,19.02,1.18,86
Cooked Turnip (Canned),1,cup,0.69,4.94,2.37,42
Cooked Kale (from Fresh),1,cup,1.83,5.47,3.12,51
Yellow Sweet Peppers,100,g,1,6.32,0.21,27
Green Hot Chili Peppers,100,g,2,9.46,0.2,40
White Icicle Radishes,1,cup,1.1,2.63,0.1,14
"Soybeans (Mature Seeds, with Salt, Cooked, Boiled)",100,g,16.64,9.93,8.97,173
Baby Brussels Sprouts & Butter Sauce,100,g,3,8,1.5,50
Baby-Cut Carrots Mini Bags,100,g,1,6,0,25
Baked Potato Stuffed with Sour Cream (Peel Eaten),1,medium,2.6,16.57,6.78,134
Baby Spinach,1,cup,2.86,3.63,0.39,23
Baby Zucchini,100,g,2.71,3.11,0.4,21
Artichoke Hearts in Oil,1,heart,3.19,10.26,8.4,119
Cabbage,100,g,1.44,5.58,0.12,24
Butternut Winter Squash,1,cup,1,11.69,0.1,45
